experiment 	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual 	image_label
20170905	A01	1	1.726404375	1:50000	NA18855	NA18870	18870_18855	00003
20170905	A02	1	1.445692561	1:50000	NA18855	NA18870	18870_18855	00002
20170905	A03	1	1.889617025	1:50000	NA18855	NA18870	18870_18855	00001
20170905	A04	1	0.47537227	1:50000	NA18855	NA18870	18870_18855	00049
20170905	A05	1	0.559682703	1:50000	NA18855	NA18870	18870_18855	00050
20170905	A06	1	2.135351839	1:50000	NA18855	NA18870	18870_18855	00051
20170905	A07	1	1.999639596	1:50000	NA18855	NA18870	18870_18855	00006
20170905	A08	1	2.011963775	1:50000	NA18855	NA18870	18870_18855	00005
20170905	A09	1	1.879088867	1:50000	NA18855	NA18870	18870_18855	00004
20170905	A10	1	1.933187199	1:50000	NA18855	NA18870	18870_18855	00052
20170905	A11	1	1.510009179	1:50000	NA18855	NA18870	18870_18855	00053
20170905	A12	1	1.246756143	1:50000	NA18855	NA18870	18870_18855	00054
20170905	B01	2	2.082850431	1:50000	NA18855	NA18870	18870_18855	00009
20170905	B02	5	0.498756651	1:50000	NA18855	NA18870	18870_18855	00008
20170905	B03	1	1.768951084	1:50000	NA18855	NA18870	18870_18855	00007
20170905	B04	1	1.794976788	1:50000	NA18855	NA18870	18870_18855	00055
20170905	B05	1	1.347105365	1:50000	NA18855	NA18870	18870_18855	00056
20170905	B06	2	1.439364917	1:50000	NA18855	NA18870	18870_18855	00057
20170905	B07	1	2.072595721	1:50000	NA18855	NA18870	18870_18855	00012
20170905	B08	1	2.245647225	1:50000	NA18855	NA18870	18870_18855	00011
20170905	B09	1	1.560520269	1:50000	NA18855	NA18870	18870_18855	00010
20170905	B10	1	1.555848928	1:50000	NA18855	NA18870	18870_18855	00058
20170905	B11	1	1.7410497	1:50000	NA18855	NA18870	18870_18855	00059
20170905	B12	1	0.830888181	1:50000	NA18855	NA18870	18870_18855	00060
20170905	C01	1	2.105127468	1:50000	NA18855	NA18870	18870_18855	00015
20170905	C02	1	2.306146495	1:50000	NA18855	NA18870	18870_18855	00014
20170905	C03	1	2.011219077	1:50000	NA18855	NA18870	18870_18855	00013
20170905	C04	1	2.166211696	1:50000	NA18855	NA18870	18870_18855	00061
20170905	C05	1	0.488161244	1:50000	NA18855	NA18870	18870_18855	00062
20170905	C06	1	1.798733989	1:50000	NA18855	NA18870	18870_18855	00063
20170905	C07	1	1.982468594	1:50000	NA18855	NA18870	18870_18855	00018
20170905	C08	1	1.575687665	1:50000	NA18855	NA18870	18870_18855	00017
20170905	C09	1	0.297357557	1:50000	NA18855	NA18870	18870_18855	00016
20170905	C10	1	1.343421106	1:50000	NA18855	NA18870	18870_18855	00064
20170905	C11	1	1.749141714	1:50000	NA18855	NA18870	18870_18855	00065
20170905	C12	1	1.805529055	1:50000	NA18855	NA18870	18870_18855	00066
20170905	D01	1	1.914912573	1:50000	NA18855	NA18870	18870_18855	00021
20170905	D02	1	0.506851329	1:50000	NA18855	NA18870	18870_18855	00020
20170905	D03	1	2.114166627	1:50000	NA18855	NA18870	18870_18855	00019
20170905	D04	1	2.26461301	1:50000	NA18855	NA18870	18870_18855	00067
20170905	D05	1	0.362023629	1:50000	NA18855	NA18870	18870_18855	00068
20170905	D06	1	1.754548369	1:50000	NA18855	NA18870	18870_18855	00069
20170905	D07	1	1.728119915	1:50000	NA18855	NA18870	18870_18855	00024
20170905	D08	1	1.779999724	1:50000	NA18855	NA18870	18870_18855	00023
20170905	D09	1	2.343250001	1:50000	NA18855	NA18870	18870_18855	00022
20170905	D10	1	1.615845952	1:50000	NA18855	NA18870	18870_18855	00070
20170905	D11	1	0.616355471	1:50000	NA18855	NA18870	18870_18855	00071
20170905	D12	1	0.988720928	1:50000	NA18855	NA18870	18870_18855	00072
20170905	E01	1	2.282666309	1:50000	NA18855	NA18870	18870_18855	00025
20170905	E02	1	2.0411321	1:50000	NA18855	NA18870	18870_18855	00026
20170905	E03	1	1.387567224	1:50000	NA18855	NA18870	18870_18855	00027
20170905	E04	2	1.680976349	1:50000	NA18855	NA18870	18870_18855	00075
20170905	E05	1	0.415987296	1:50000	NA18855	NA18870	18870_18855	00074
20170905	E06	1	0.780431315	1:50000	NA18855	NA18870	18870_18855	00073
