name	type	checksum	instrument	read_length	library
20170905-A01-NA18870.fastq.gz	fastq	c2599f8a104edfe5a3d69e8e3e5a3132	HiSeq 2500	50	single
20170905-A02-NA18870.fastq.gz	fastq	dff421d656828167261bba2aae7af5e1	HiSeq 2500	50	single
20170905-A03-NA18855.fastq.gz	fastq	a29cde604d600e23e846e5315b461cb1	HiSeq 2500	50	single
20170905-A04-NA18870.fastq.gz	fastq	e555b0d3659a7fa6e7114b42cf65015a	HiSeq 2500	50	single
20170905-A05-NA18870.fastq.gz	fastq	d51bb030c8ce8f9dba558d3d4b55f033	HiSeq 2500	50	single
20170905-A06-NA18870.fastq.gz	fastq	6375a2b297de60b35b35bc3e75742d99	HiSeq 2500	50	single
20170905-A07-NA18855.fastq.gz	fastq	fa5ed558d4f70b6641e17888600f445b	HiSeq 2500	50	single
20170905-A08-NA18870.fastq.gz	fastq	3634a72483ad59aa5c17cbbef65a6e50	HiSeq 2500	50	single
20170905-A09-NA18855.fastq.gz	fastq	5a44d7a9e6de85e610fd240866c1783b	HiSeq 2500	50	single
20170905-A10-NA18870.fastq.gz	fastq	aceb4fb13dbc245fbb9a706586754551	HiSeq 2500	50	single
20170905-A11-NA18855.fastq.gz	fastq	200c985e7c887c1346b9d640e9fac1ed	HiSeq 2500	50	single
20170905-A12-NA18855.fastq.gz	fastq	3904b272f51955b984a0ba8afe97b350	HiSeq 2500	50	single
20170905-B01-NA18855.fastq.gz	fastq	cdfe2f2a0e97d5babc9202f3f39f716e	HiSeq 2500	50	single
20170905-B02-NA18855.fastq.gz	fastq	8e987062c724a0ba290e1ed403b38bfe	HiSeq 2500	50	single
20170905-B03-NA18870.fastq.gz	fastq	15461b3e695f4bf9266c4f45304b8620	HiSeq 2500	50	single
20170905-B04-NA18855.fastq.gz	fastq	7552263f6003ddecd9b47b241c5cd87b	HiSeq 2500	50	single
20170905-B05-NA18855.fastq.gz	fastq	e649663431137bf9d8648447255bf6e9	HiSeq 2500	50	single
20170905-B06-NA18870.fastq.gz	fastq	b628a3b968381b369d87b4c892cc9284	HiSeq 2500	50	single
20170905-B07-NA18855.fastq.gz	fastq	28f8ae3ace7c9d0dcdde8906c6be75a1	HiSeq 2500	50	single
20170905-B08-NA18870.fastq.gz	fastq	b2da16f002de0cc9caf873b083454bd7	HiSeq 2500	50	single
20170905-B09-NA18855.fastq.gz	fastq	601df815fe4d4d3d7ac3de74f89aa81c	HiSeq 2500	50	single
20170905-B10-NA18870.fastq.gz	fastq	74a04e3e84b42ce3943547b781b9b2c7	HiSeq 2500	50	single
20170905-B11-NA18855.fastq.gz	fastq	e16401ea5d1cf5d7f205c97558dd05af	HiSeq 2500	50	single
20170905-B12-NA18855.fastq.gz	fastq	0b2bd3e79c6b14707ecda10156d0d8e8	HiSeq 2500	50	single
20170905-C01-NA18855.fastq.gz	fastq	78d75721ed42d3b151194b54ee3a995d	HiSeq 2500	50	single
20170905-C02-NA18870.fastq.gz	fastq	836f683cdaae5093c495c80de910f5a0	HiSeq 2500	50	single
20170905-C03-NA18870.fastq.gz	fastq	f89b425fc57c3dc34d2fd6a866d27b70	HiSeq 2500	50	single
20170905-C04-NA18870.fastq.gz	fastq	aaf7d7711b3e08921fa9231773dd24ec	HiSeq 2500	50	single
20170905-C05-NA18855.fastq.gz	fastq	77fad0daeacdce7548464ae98cd3ca45	HiSeq 2500	50	single
20170905-C06-NA18855.fastq.gz	fastq	7e5b2f3a8932ecf99f11d72b7e9c5dd1	HiSeq 2500	50	single
20170905-C07-NA18855.fastq.gz	fastq	1bd8559f98f475c3897d25739b1855e9	HiSeq 2500	50	single
20170905-C08-NA18855.fastq.gz	fastq	dfaf719baa919f97e337e6ca66b32aac	HiSeq 2500	50	single
20170905-C09-NA18855.fastq.gz	fastq	cc7a1280c22c5eb7bd02ecc9ad4010a1	HiSeq 2500	50	single
20170905-C10-NA18855.fastq.gz	fastq	69c11a9b6c937e45e8c01e43efebecd2	HiSeq 2500	50	single
20170905-C11-NA18855.fastq.gz	fastq	be8cb86fb5572df64777572db6269756	HiSeq 2500	50	single
20170905-C12-NA18855.fastq.gz	fastq	95a3053da3cde2130683f2f5f12c291e	HiSeq 2500	50	single
20170905-D01-NA18855.fastq.gz	fastq	a5bfa02a80d547e04577c57427d15ff7	HiSeq 2500	50	single
20170905-D02-NA18855.fastq.gz	fastq	fb7e81430c1747d04e2311040541bb62	HiSeq 2500	50	single
20170905-D03-NA18855.fastq.gz	fastq	258866470870527ec40890e24cbab31a	HiSeq 2500	50	single
20170905-D04-NA18870.fastq.gz	fastq	2e4e78a2f4d7ad89a4c2a43c791496e3	HiSeq 2500	50	single
20170905-D05-NA18870.fastq.gz	fastq	7a20682d20c867a1b68168be7d468655	HiSeq 2500	50	single
20170905-D06-NA18870.fastq.gz	fastq	85b37278e10e099125302c7b13e25d0f	HiSeq 2500	50	single
20170905-D07-NA18855.fastq.gz	fastq	5e2d7946bc5ae30d193478fba27a8ece	HiSeq 2500	50	single
20170905-D08-NA18855.fastq.gz	fastq	d49c44b199572ba17184f7e91507be8e	HiSeq 2500	50	single
20170905-D09-NA18870.fastq.gz	fastq	008aeda6034e8b08a7166bb9a60b9d27	HiSeq 2500	50	single
20170905-D10-NA18855.fastq.gz	fastq	ecc2921cab0c12bdb7feaf8e5fc8053b	HiSeq 2500	50	single
20170905-D11-NA18855.fastq.gz	fastq	da860a2e08954dd9a4cfb2919f98dc6c	HiSeq 2500	50	single
20170905-D12-NA18855.fastq.gz	fastq	4531a843665a87e31577deed4e17d10b	HiSeq 2500	50	single
20170905-E01-NA18870.fastq.gz	fastq	5191a63c2a984cb29e58fef09fa00ac7	HiSeq 2500	50	single
20170905-E02-NA18855.fastq.gz	fastq	2071dfec8ed957f511b8c9db205fcb1f	HiSeq 2500	50	single
20170905-E03-NA18870.fastq.gz	fastq	098ac087875552c26429800940e66c4e	HiSeq 2500	50	single
20170905-E04-NA18855.fastq.gz	fastq	fce71804a543bdb129dead36f76d3e82	HiSeq 2500	50	single
20170905-E05-NA18855.fastq.gz	fastq	fab457ab96e6d789cb9c963e88f67b8a	HiSeq 2500	50	single
20170905-E06-NA18870.fastq.gz	fastq	62154aad8d0e8fe9d864882f2a094d73	HiSeq 2500	50	single
