name	title	source	organism	experiment	well	individual	molecule	description	processed1	processed2	processed3	processed4	processed5	raw
Sample 0001	20170905-A01-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A01	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A01-NA18870.fastq.gz
Sample 0002	20170905-A02-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A02	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A02-NA18870.fastq.gz
Sample 0003	20170905-A03-NA18855	LCL-derived iPSC	Homo sapiens	20170905	A03	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A03-NA18855.fastq.gz
Sample 0004	20170905-A04-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A04	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A04-NA18870.fastq.gz
Sample 0005	20170905-A05-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A05	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A05-NA18870.fastq.gz
Sample 0006	20170905-A06-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A06	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A06-NA18870.fastq.gz
Sample 0007	20170905-A07-NA18855	LCL-derived iPSC	Homo sapiens	20170905	A07	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A07-NA18855.fastq.gz
Sample 0008	20170905-A08-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A08	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A08-NA18870.fastq.gz
Sample 0009	20170905-A09-NA18855	LCL-derived iPSC	Homo sapiens	20170905	A09	NA18855	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A09-NA18855.fastq.gz
Sample 0010	20170905-A10-NA18870	LCL-derived iPSC	Homo sapiens	20170905	A10	NA18870	polyA RNA		eset-raw.rds	fucci-counts.txt.gz	fucci-annotation.txt	fucci-annotation-description.txt	eset-final.rds	20170905-A10-NA18870.fastq.gz
