sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2
20170907-A01	20170907	A01	1	0.620615697	50x dilution	NA18855	NA19098
20170907-A02	20170907	A02	1	1.55933477	50x dilution	NA18855	NA19098
20170907-A03	20170907	A03	1	0.627408793	50x dilution	NA18855	NA19098
20170907-A04	20170907	A04	1	0.32463161	50x dilution	NA18855	NA19098
20170907-A05	20170907	A05	1	2.247891479	50x dilution	NA18855	NA19098
20170907-A06	20170907	A06	1	1.20249365	50x dilution	NA18855	NA19098
20170907-A07	20170907	A07	1	1.140856305	50x dilution	NA18855	NA19098
20170907-A08	20170907	A08	1	0.363226215	50x dilution	NA18855	NA19098
20170907-A09	20170907	A09	1	0.54025806	50x dilution	NA18855	NA19098
20170907-A10	20170907	A10	1	0.866328382	50x dilution	NA18855	NA19098
20170907-A11	20170907	A11	1	0.713963125	50x dilution	NA18855	NA19098
20170907-A12	20170907	A12	1	1.946684545	50x dilution	NA18855	NA19098
20170907-B01	20170907	B01	1	1.897230064	50x dilution	NA18855	NA19098
20170907-B02	20170907	B02	1	1.378757316	50x dilution	NA18855	NA19098
20170907-B03	20170907	B03	1	0.191941813	50x dilution	NA18855	NA19098
20170907-B04	20170907	B04	1	0.540128619	50x dilution	NA18855	NA19098
20170907-B05	20170907	B05	1	1.976536132	50x dilution	NA18855	NA19098
20170907-B06	20170907	B06	1	1.568270483	50x dilution	NA18855	NA19098
20170907-B07	20170907	B07	1	1.868929461	50x dilution	NA18855	NA19098
20170907-B08	20170907	B08	1	2.331189317	50x dilution	NA18855	NA19098
20170907-B09	20170907	B09	1	1.46281391	50x dilution	NA18855	NA19098
20170907-B10	20170907	B10	1	1.190549078	50x dilution	NA18855	NA19098
20170907-B11	20170907	B11	1	1.280038934	50x dilution	NA18855	NA19098
20170907-B12	20170907	B12	1	1.524857059	50x dilution	NA18855	NA19098
20170907-C01	20170907	C01	1	1.994958227	50x dilution	NA18855	NA19098
20170907-C02	20170907	C02	1	1.939481766	50x dilution	NA18855	NA19098
20170907-C03	20170907	C03	1	2.020059333	50x dilution	NA18855	NA19098
20170907-C04	20170907	C04	1	2.016093083	50x dilution	NA18855	NA19098
20170907-C05	20170907	C05	1	1.735241745	50x dilution	NA18855	NA19098
20170907-C06	20170907	C06	1	1.813553002	50x dilution	NA18855	NA19098
20170907-C07	20170907	C07	1	2.179983515	50x dilution	NA18855	NA19098
20170907-C08	20170907	C08	1	0.562694412	50x dilution	NA18855	NA19098
20170907-C09	20170907	C09	1	0.854777459	50x dilution	NA18855	NA19098
20170907-C10	20170907	C10	1	0.416943788	50x dilution	NA18855	NA19098
20170907-C11	20170907	C11	1	1.164877913	50x dilution	NA18855	NA19098
20170907-C12	20170907	C12	1	1.127699369	50x dilution	NA18855	NA19098
20170907-D01	20170907	D01	1	1.878153596	50x dilution	NA18855	NA19098
20170907-D02	20170907	D02	1	0.819888846	50x dilution	NA18855	NA19098
20170907-D03	20170907	D03	1	1.637512221	50x dilution	NA18855	NA19098
20170907-D04	20170907	D04	1	0.888535743	50x dilution	NA18855	NA19098
20170907-D05	20170907	D05	1	1.114578601	50x dilution	NA18855	NA19098
20170907-D06	20170907	D06	1	1.480154777	50x dilution	NA18855	NA19098
20170907-D07	20170907	D07	1	1.068990593	50x dilution	NA18855	NA19098
20170907-D08	20170907	D08	1	1.334579793	50x dilution	NA18855	NA19098
20170907-D09	20170907	D09	1	1.83048313	50x dilution	NA18855	NA19098
20170907-D10	20170907	D10	1	2.093732739	50x dilution	NA18855	NA19098
20170907-D11	20170907	D11	1	2.126421777	50x dilution	NA18855	NA19098
20170907-D12	20170907	D12	1	2.172348459	50x dilution	NA18855	NA19098
20170907-E01	20170907	E01	1	0.621913446	50x dilution	NA18855	NA19098
20170907-E02	20170907	E02	1	0.901159233	50x dilution	NA18855	NA19098
20170907-E03	20170907	E03	1	1.303140105	50x dilution	NA18855	NA19098
20170907-E04	20170907	E04	1	0.963538932	50x dilution	NA18855	NA19098
20170907-E05	20170907	E05	1	0.920740934	50x dilution	NA18855	NA19098
20170907-E06	20170907	E06	1	1.908208436	50x dilution	NA18855	NA19098
20170907-E07	20170907	E07	1	1.72233865	50x dilution	NA18855	NA19098
20170907-E08	20170907	E08	1	0.651432598	50x dilution	NA18855	NA19098
20170907-E09	20170907	E09	1	1.184931361	50x dilution	NA18855	NA19098
20170907-E10	20170907	E10	1	1.956906505	50x dilution	NA18855	NA19098
20170907-E11	20170907	E11	1	0.232995944	50x dilution	NA18855	NA19098
20170907-E12	20170907	E12	1	1.972097421	50x dilution	NA18855	NA19098
20170907-F01	20170907	F01	1	0.448908852	50x dilution	NA18855	NA19098
20170907-F02	20170907	F02	1	0.619195961	50x dilution	NA18855	NA19098
20170907-F03	20170907	F03	1	0.554964076	50x dilution	NA18855	NA19098
20170907-F04	20170907	F04	1	1.200176083	50x dilution	NA18855	NA19098
20170907-F05	20170907	F05	1	2.151709279	50x dilution	NA18855	NA19098
20170907-F06	20170907	F06	1	1.60479494	50x dilution	NA18855	NA19098
20170907-F07	20170907	F07	1	0.514281876	50x dilution	NA18855	NA19098
20170907-F08	20170907	F08	1	0.611949034	50x dilution	NA18855	NA19098
20170907-F09	20170907	F09	1	0.358721902	50x dilution	NA18855	NA19098
20170907-F10	20170907	F10	1	2.199303235	50x dilution	NA18855	NA19098
20170907-F11	20170907	F11	1	1.938147132	50x dilution	NA18855	NA19098
20170907-F12	20170907	F12	1	1.797906046	50x dilution	NA18855	NA19098
20170907-G01	20170907	G01	1	1.417608465	50x dilution	NA18855	NA19098
20170907-G02	20170907	G02	1	0.750284445	50x dilution	NA18855	NA19098
20170907-G03	20170907	G03	1	2.210588304	50x dilution	NA18855	NA19098
20170907-G04	20170907	G04	1	2.052191955	50x dilution	NA18855	NA19098
20170907-G05	20170907	G05	1	2.430779254	50x dilution	NA18855	NA19098
