sample	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label
20170917-A01	20170917	A01	1	2.129155169	50x dilution	NA19098	NA19160	19098_19160	00003
20170917-A02	20170917	A02	1	2.381849911	50x dilution	NA19098	NA19160	19098_19160	00002
20170917-A03	20170917	A03	1	0.389746483	50x dilution	NA19098	NA19160	19098_19160	00001
20170917-A04	20170917	A04	0	0.716005386	50x dilution	NA19098	NA19160	19098_19160	00049
20170917-A05	20170917	A05	1	2.372991119	50x dilution	NA19098	NA19160	19098_19160	00050
20170917-A06	20170917	A06	1	2.187217371	50x dilution	NA19098	NA19160	19098_19160	00051
20170917-A07	20170917	A07	2	2.090154181	50x dilution	NA19098	NA19160	19098_19160	00006
20170917-A08	20170917	A08	1	2.059182679	50x dilution	NA19098	NA19160	19098_19160	00005
20170917-A09	20170917	A09	1	2.059950371	50x dilution	NA19098	NA19160	19098_19160	00004
20170917-A10	20170917	A10	1	2.173291412	50x dilution	NA19098	NA19160	19098_19160	00052
20170917-A11	20170917	A11	1	2.279389332	50x dilution	NA19098	NA19160	19098_19160	00053
20170917-A12	20170917	A12	1	2.600122387	50x dilution	NA19098	NA19160	19098_19160	00054
20170917-B01	20170917	B01	1	1.937959814	50x dilution	NA19098	NA19160	19098_19160	00009
20170917-B02	20170917	B02	1	1.965361363	50x dilution	NA19098	NA19160	19098_19160	00008
20170917-B03	20170917	B03	0	0.223737996	50x dilution	NA19098	NA19160	19098_19160	00007
20170917-B04	20170917	B04	2	2.320869939	50x dilution	NA19098	NA19160	19098_19160	00055
20170917-B05	20170917	B05	1	2.369296822	50x dilution	NA19098	NA19160	19098_19160	00056
20170917-B06	20170917	B06	1	1.47319999	50x dilution	NA19098	NA19160	19098_19160	00057
20170917-B07	20170917	B07	1	2.006538367	50x dilution	NA19098	NA19160	19098_19160	00012
20170917-B08	20170917	B08	1	0.599882597	50x dilution	NA19098	NA19160	19098_19160	00011
20170917-B09	20170917	B09	1	1.861468514	50x dilution	NA19098	NA19160	19098_19160	00010
20170917-B10	20170917	B10	1	0.686751808	50x dilution	NA19098	NA19160	19098_19160	00058
20170917-B11	20170917	B11	1	2.204346991	50x dilution	NA19098	NA19160	19098_19160	00059
20170917-B12	20170917	B12	1	0.56232101	50x dilution	NA19098	NA19160	19098_19160	00060
20170917-C01	20170917	C01	1	1.172265598	50x dilution	NA19098	NA19160	19098_19160	00015
20170917-C02	20170917	C02	1	1.258124054	50x dilution	NA19098	NA19160	19098_19160	00014
20170917-C03	20170917	C03	1	2.015361251	50x dilution	NA19098	NA19160	19098_19160	00013
20170917-C04	20170917	C04	1	2.396606512	50x dilution	NA19098	NA19160	19098_19160	00061
20170917-C05	20170917	C05	1	1.779927902	50x dilution	NA19098	NA19160	19098_19160	00062
20170917-C06	20170917	C06	2	0.928593743	50x dilution	NA19098	NA19160	19098_19160	00063
20170917-C07	20170917	C07	1	2.209022472	50x dilution	NA19098	NA19160	19098_19160	00018
20170917-C08	20170917	C08	1	0.454446682	50x dilution	NA19098	NA19160	19098_19160	00017
20170917-C09	20170917	C09	4	0.759694171	50x dilution	NA19098	NA19160	19098_19160	00016
20170917-C10	20170917	C10	1	2.089714697	50x dilution	NA19098	NA19160	19098_19160	00064
20170917-C11	20170917	C11	2	2.336290739	50x dilution	NA19098	NA19160	19098_19160	00065
20170917-C12	20170917	C12	1	1.666778734	50x dilution	NA19098	NA19160	19098_19160	00066
20170917-D01	20170917	D01	2	1.076216697	50x dilution	NA19098	NA19160	19098_19160	00021
20170917-D02	20170917	D02	0	0.542439514	50x dilution	NA19098	NA19160	19098_19160	00020
20170917-D03	20170917	D03	1	0.479737002	50x dilution	NA19098	NA19160	19098_19160	00019
20170917-D04	20170917	D04	1	0.404882797	50x dilution	NA19098	NA19160	19098_19160	00067
20170917-D05	20170917	D05	1	2.49016409	50x dilution	NA19098	NA19160	19098_19160	00068
