sample_id	experiment	well	cell_number	concentration	ERCC	individual.1	individual.2	image_individual	image_label	raw	umi	mapped	unmapped	reads_ercc	reads_hs	reads_egfp	reads_mcherry	molecules	mol_ercc	mol_hs	mol_egfp	mol_mcherry	detect_ercc	detect_hs	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min	valid_id	cut_off_reads	unmapped_ratios	cut_off_unmapped	ercc_percentage	cut_off_ercc	cut_off_genes	ercc_conversion	conversion	conversion_outlier	molecule_outlier	filter_all	rfp.median.log10sum	gfp.median.log10sum	dapi.median.log10sum	rfp.median.log10sum.adjust	gfp.median.log10sum.adjust	dapi.median.log10sum.adjust	size	perimeter	eccentricity	theta
20170905-A01	20170905	A01	1	1.726404375	50x dilution	NA18855	NA18870	18870_18855	3	5746265	3709414	2597589	1111825	161686	2435427	475	1	158546	3692	154830	23	1	41	9018	NA18870	0.16693	0.05395	311848	9356	0.03	1	3961	TRUE	TRUE	0.299730631307263	TRUE	0.0622446430131942	TRUE	TRUE	0.0228343826923791	0.0635740672990814	FALSE	FALSE	TRUE	2.74476484917628	2.95463678612591	3.08303623315245	0.415319493563074	0.149737630873154	0.2692293737208	1358	113	0.581639326550473	4.37461893001876
20170905-A02	20170905	A02	1	1.445692561	50x dilution	NA18855	NA18870	18870_18855	2	3997709	2642317	1799823	842494	253670	1545769	379	5	88552	3648	84887	12	5	45	6848	NA18870	0.26917	0.13813	311848	4678	0.02	1	2201	TRUE	TRUE	0.318846678880694	TRUE	0.140941637038753	TRUE	TRUE	0.014380888555998	0.0549157086214046	FALSE	FALSE	TRUE	2.25228066658324	2.51882497189294	2.69625406627228	-0.0130864792016583	-0.260775690047122	-0.11030018545079	723	81	0.508793102752789	2.25263460546275
20170905-A03	20170905	A03	1	1.889617025	50x dilution	NA18855	NA18870	18870_18855	1	4765829	3301270	2274259	1027011	261145	2011561	1550	3	107984	3820	104119	44	1	44	7228	NA18855	0.36964	0.07778	311848	6201	0.02	1	2550	TRUE	TRUE	0.311095729825188	TRUE	0.114826411591644	TRUE	TRUE	0.0146278887208256	0.0517602995882302	FALSE	FALSE	TRUE	2.85089237051356	3.19776441889893	2.95525556802329	0.32970968420749	0.281079094296424	0.11211708054373	2937	172	0.433767526342544	4.82031591062393
20170905-A06	20170905	A06	1	2.135351839	50x dilution	NA18855	NA18870	18870_18855	51	5249443	3662342	2631138	1031204	210518	2419498	1118	4	134989	3664	131293	31	1	43	8198	NA18870	0.22935	0.08126	311848	7929	0.03	1	3190	TRUE	TRUE	0.281569553034643	TRUE	0.0800102465169064	TRUE	TRUE	0.0174046874851557	0.0542645623182991	FALSE	FALSE	TRUE	1.76181282683075	2.94177271506685	3.06222617144402	-0.231237613984957	0.128698856111986	0.162145481495787	1359	115	0.50974373570956	0.24686316884786
20170905-A07	20170905	A07	1	1.999639596	50x dilution	NA18855	NA18870	18870_18855	6	5084206	3496703	2522578	974125	182816	2338094	1657	11	142097	3717	138321	56	3	45	8602	NA18855	0.27669	0.12615	311848	8145	0.03	1	3535	TRUE	TRUE	0.278583854562426	TRUE	0.0724718918503214	TRUE	TRUE	0.0203319184316471	0.0591597258279607	FALSE	FALSE	TRUE	2.02155438293201	3.26517896540824	3.16983135315091	-0.333604268931862	0.420206453584866	0.224289949312621	1795	141	0.809687402835639	6.06131957107203
20170905-A08	20170905	A08	1	2.011963775	50x dilution	NA18855	NA18870	18870_18855	5	4892647	3376676	2409965	966711	206500	2202428	943	94	123886	3700	120154	30	2	46	8041	NA18870	0.22141	0.08389	311848	7375	0.02	1	3116	TRUE	TRUE	0.286290719038486	TRUE	0.0856858917038214	TRUE	TRUE	0.0179176755447942	0.0545552453928119	FALSE	FALSE	TRUE	2.86034189129338	3.06980695191962	2.93039791013085	0.827969626092228	-0.000237604777855616	-0.016589215184831	894	93	0.699739463153903	3.88996784317062
20170905-A09	20170905	A09	1	1.879088867	50x dilution	NA18855	NA18870	18870_18855	4	3581881	2471894	1793281	678613	186753	1605663	860	5	99027	3615	95378	30	4	45	7584	NA18855	0.30506	0.09027	311848	6397	0.02	1	2785	TRUE	TRUE	0.274531593992299	TRUE	0.104140399636198	TRUE	TRUE	0.0193571187611444	0.0594010075588713	FALSE	FALSE	TRUE	3.05020225691751	2.76983498397838	2.82181605185825	0.660660433040871	-0.0732282725222859	-0.0455947568796584	708	83	0.735442177974478	3.71752405458393
20170905-A10	20170905	A10	1	1.933187199	50x dilution	NA18855	NA18870	18870_18855	52	4871905	3305457	2331393	974064	216827	2113796	720	50	118705	3672	115003	26	4	44	8016	NA18870	0.30205	0.12922	311848	6717	0.02	1	2936	TRUE	TRUE	0.294683609558376	TRUE	0.0930031959433695	TRUE	TRUE	0.0169351602890784	0.0544059123964659	FALSE	FALSE	TRUE	2.02386148818023	3.15125939083574	2.94840969708821	-0.313323382012319	0.267924413563486	0.0102586628773569	977	100	0.568206080429319	6.26460277334799
20170905-A11	20170905	A11	1	1.510009179	50x dilution	NA18855	NA18870	18870_18855	53	3238493	2187148	1549709	637439	194502	1354813	336	58	80626	3304	77306	15	1	38	6725	NA18855	0.26743	0.08166	311848	4826	0.02	1	2166	TRUE	TRUE	0.291447583794055	TRUE	0.125508724541188	TRUE	TRUE	0.0169869718563305	0.0570602732628045	FALSE	FALSE	TRUE	3.00835135102127	2.9286907277258	2.85252315947472	0.770467635575502	0.127846441955091	-0.0315473548539766	780	87	0.632430478517083	4.13193411227836
20170905-A12	20170905	A12	1	1.246756143	50x dilution	NA18855	NA18870	18870_18855	54	3683928	2459662	1606253	853409	221730	1384011	509	3	86222	3514	82678	27	3	49	6595	NA18855	0.36714	0.10237	311848	4826	0.02	1	2147	TRUE	TRUE	0.346961899643122	TRUE	0.138041765525107	TRUE	TRUE	0.0158481035493618	0.0597379645103977	FALSE	FALSE	TRUE	1.85211256602023	2.48838854211327	2.76285948986681	-0.364596226445128	-0.474737479238363	-0.176328618005833	677	88	0.815204633718963	1.85038878058411
