ensembl_gene_id,chromosome_name,external_gene_name,transcript_count,description
ENSG00000000938,1,FGR,8,feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]
ENSG00000000971,1,CFH,6,complement factor H [Source:HGNC Symbol;Acc:4883]
ENSG00000001626,7,CFTR,11,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]"
ENSG00000002726,7,AOC1,7,"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]"
ENSG00000002745,7,WNT16,2,"wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]"
ENSG00000002933,7,TMEM176A,11,transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]
ENSG00000003137,2,CYP26B1,5,"cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]"
ENSG00000004468,4,CD38,5,CD38 molecule [Source:HGNC Symbol;Acc:1667]
ENSG00000004776,19,HSPB6,3,"heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]"
ENSG00000004799,7,PDK4,5,"pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]"
ENSG00000004809,6,SLC22A16,10,"solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]"
ENSG00000004838,3,ZMYND10,9,"zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]"
ENSG00000004846,7,ABCB5,6,"ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]"
ENSG00000004939,17,SLC4A1,4,"solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]"
ENSG00000004948,7,CALCR,7,calcitonin receptor [Source:HGNC Symbol;Acc:1440]
ENSG00000005001,16,PRSS22,8,"protease, serine, 22 [Source:HGNC Symbol;Acc:14368]"
ENSG00000005243,17,COPZ2,11,"coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]"
ENSG00000005381,17,MPO,6,myeloperoxidase [Source:HGNC Symbol;Acc:7218]
ENSG00000005421,7,PON1,5,paraoxonase 1 [Source:HGNC Symbol;Acc:9204]
