ensembl_gene_id,chromosome_name,external_gene_name,transcript_count,description
ENSG00000002330,11,BAD,7,BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]
ENSG00000002549,4,LAP3,10,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]
ENSG00000003509,2,NDUFAF7,13,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]"
ENSG00000004059,7,ARF5,6,ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]
ENSG00000004142,17,POLDIP2,2,"polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]"
ENSG00000004455,1,AK2,13,adenylate kinase 2 [Source:HGNC Symbol;Acc:362]
ENSG00000004779,16,NDUFAB1,5,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]"
ENSG00000004799,7,PDK4,5,"pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]"
ENSG00000004864,7,SLC25A13,9,"solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]"
ENSG00000004961,X,HCCS,3,holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]
ENSG00000005022,X,SLC25A5,4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]"
ENSG00000005059,4,CCDC109B,5,coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]
ENSG00000005187,16,ACSM3,15,acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]
ENSG00000005469,7,CROT,7,carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]
ENSG00000005882,17,PDK2,15,"pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]"
ENSG00000006282,17,SPATA20,26,spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]
ENSG00000006530,7,AGK,11,acylglycerol kinase [Source:HGNC Symbol;Acc:21869]
ENSG00000006695,17,COX10,6,cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]
ENSG00000006744,17,ELAC2,21,elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]
ENSG00000007202,17,KIAA0100,16,KIAA0100 [Source:HGNC Symbol;Acc:28960]
